740,<= numLines,,,,,,,
S0R0,S0R1,S0R2,S0R3,S0R4,S0R5,S0R6,S0R7,S0R8
-4362,-8747,7206,-5659,-1633,-1846,174,150,-30
-2891,-9292,3458,-5458,-1548,-2037,188,140,-38
-3850,-10196,2844,-5412,-1485,-1909,198,134,-52
-2284,-10717,-430,-5474,-1253,-1735,208,134,-52
-179,-11160,-3268,-5729,-983,-1739,227,131,-53
-4420,-12468,-2987,-6030,-827,-1659,240,126,-54
1133,-9276,-1680,-6091,-1037,-1001,255,131,-65
-1177,-12116,-1581,-6356,-872,-1424,266,128,-74
1176,-10378,-849,-6024,-804,-1795,277,123,-81
-2889,-13600,-1027,-5974,-856,-2675,288,114,-94
350,-11744,-2764,-6023,-759,-3061,307,105,-103
1443,-11668,-2848,-5851,-970,-3376,314,106,-118
3998,-9787,-4910,-5531,-632,-3330,319,79,-121
6008,-9648,-5201,-4944,-666,-3110,326,86,-136
6501,-12070,-6767,-4261,-413,-2831,338,70,-156
7271,-11855,-8816,-3674,-453,-3084,331,61,-157
8078,-13674,-9740,-3605,-521,-3459,337,65,-171
8217,-12700,-9535,-3771,-365,-3569,342,58,-174
4871,-12033,-10380,-4092,-282,-3868,345,43,-185
12743,-10563,-5197,-4070,-331,-3374,344,44,-192
12772,-11735,-7066,-3224,284,-4154,355,23,-203
10642,-13155,-8410,-1963,466,-4617,348,16,-208
12665,-11671,-9467,-782,-545,-4727,350,4,-216
11220,-15302,-9610,-488,-626,-4555,344,-14,-214
14257,-14677,-9314,-506,-775,-3872,343,-15,-219
15214,-13322,-7818,-385,-91,-3619,335,-25,-227
14120,-12182,-7399,-387,-167,-3273,335,-25,-227
13610,-10594,-5381,-138,-527,-3030,314,-52,-218
12867,-14934,-6818,211,-381,-2824,310,-52,-222
14635,-14433,-8973,666,-281,-2296,317,-55,-215
17757,-8150,-18148,1041,-211,-2273,317,-61,-217
13905,-9750,-14006,-334,-1949,-3276,303,-73,-227
12794,-10364,-5657,-993,-2607,-3291,299,-85,-237
12558,-9649,-2535,185,-1912,-2746,291,-87,-237
12723,-9949,-5021,1239,-954,-2465,295,-89,-229
15443,-12483,-5072,2182,-436,-2237,284,-94,-230
16928,-17542,-7903,3567,29,-2122,284,-104,-224
17584,-20709,-2842,4564,-153,-2132,280,-102,-228
8357,-5037,-13613,1909,586,-1069,235,-113,-177
7244,-4771,-1346,-307,-1647,-2083,229,-119,-185
10577,-6794,-2945,146,-2359,-1889,227,-127,-195
14349,-6640,-4509,832,-2761,-1696,217,-133,-195
14580,-9311,-4341,1211,-2615,-1536,221,-133,-197
15553,-8860,-3568,1946,-1943,-1189,208,-130,-210
20203,-4006,-5629,743,-1557,-269,209,-139,-205
15354,-5814,-4654,801,-652,-648,213,-143,-209
20125,-2864,-2319,861,-1156,622,206,-138,-216
16524,-4285,-9046,835,197,23,206,-140,-210
15322,-6330,-12428,346,-334,-23,214,-146,-206
15181,-4152,-6871,-396,-1221,-90,206,-136,-210
12521,-4200,-4093,-738,-1069,-91,209,-143,-215
12379,-5047,-2557,-672,-931,-44,213,-137,-217
13595,-6506,-4955,-411,-836,-7,207,-141,-217
15480,-5227,-4223,-97,-646,-4,209,-141,-215
15471,-5099,-6215,2,-567,-187,217,-143,-215
15042,-4513,-6149,2,-305,-391,206,-140,-216
17523,-5382,-7918,1616,-1942,118,201,-145,-217
16412,-6668,-8888,1377,-2175,138,192,-148,-226
12561,-7679,-8135,920,-1932,-8,197,-145,-235
12033,-8420,-8289,350,-915,-182,207,-149,-239
11467,-7392,-10637,-468,-295,-294,204,-144,-248
11230,-6815,-10824,-1009,-95,-355,194,-140,-248
10839,-5542,-9100,-1348,-733,-309,200,-148,-252
12522,-7313,-7270,-1614,-1499,-256,196,-152,-248
11670,-7063,-5876,-1274,-1976,-150,191,-147,-259
11013,-8184,-5783,-1072,-2309,-113,201,-147,-259
11276,-7439,-7452,-786,-2901,6,202,-144,-266
11176,-6333,-8715,-562,-3425,110,205,-149,-269
12711,-4911,-6766,-198,-3788,91,198,-146,-290
13536,-6822,-6871,463,-3256,152,197,-147,-295
-5389,-5393,-5993,583,-2258,576,204,-150,-300
6831,-7448,-10237,-168,-1627,390,197,-147,-301
3774,-6125,-11560,152,-1202,46,203,-151,-305
5627,-6889,-12967,-241,-1241,-385,203,-151,-307
5962,-5514,-13311,-30,-1364,-444,197,-151,-311
7678,-5925,-14767,-176,-1258,-800,197,-145,-317
11392,-6451,-12095,-215,-1418,-1381,195,-137,-317
10066,-4490,-16116,449,-1167,281,199,-137,-327
14996,-7663,-13987,906,-522,261,200,-136,-336
12765,-5632,-12544,382,-181,187,202,-138,-338
13257,-4555,-12781,-170,61,116,201,-133,-329
12748,-5459,-12223,-578,-210,-447,202,-136,-340
